event_id,sequence,date_start,date_end,date_label,event_title,category,certainty,place_id,place_name_zh,lng,lat,coordinate_precision,needs_review,source_id,source_locator,evidence_quote
event-1935-birth-harbin,10,1935-04-25,1935-04-25,1935年4月25日,出生于哈尔滨,birth,high,place-harbin,哈尔滨,126.535,45.8038,city,false,source-leeao-chronology-50,1935条,1935...4月25日...生在哈尔滨
event-1937-move-beiping,20,1937-01-01,1937-12-31,1937年,全家迁到北平,migration,high,place-beijing,北京/北平,116.4074,39.9042,city,false,source-leeao-chronology-50,1937条,全家迁到北平
event-1937-1946-neiwubu-residence,22,1937-01-01,1946-12-31,1937年至1946年以后,北平内务部街甲44号居住,residence,high,place-beijing-neiwubujie-44,北平内务部街甲44号,116.424,39.921,address_approx,true,source-leeao-autobiography-and-memoirs,第367、379行,内务部街甲44号，就租给我们...我们住这座房子，前后十年
event-1940-taiyuan-taigu,30,1940-01-01,1940-12-31,1940年,随父亲到太原、太谷,travel,high,place-taiyuan,太原,112.5489,37.8706,city,false,source-leeao-chronology-50,1940条,随爸爸去太原，并游太谷等地，间返北京
event-1940-taiyuan-taigu,30,1940-01-01,1940-12-31,1940年,随父亲到太原、太谷,travel,high,place-taigu,太谷,112.5513,37.4213,region,false,source-leeao-chronology-50,1940条,随爸爸去太原，并游太谷等地，间返北京
event-1940-taiyuan-taigu,30,1940-01-01,1940-12-31,1940年,随父亲到太原、太谷,travel,high,place-beijing,北京/北平,116.4074,39.9042,city,false,source-leeao-chronology-50,1940条,随爸爸去太原，并游太谷等地，间返北京
event-1941-taiyuan-opium-bureau,32,1941-01-01,1941-12-31,1941年,随父赴太原，住进禁烟局,travel,high,place-beijing,北京/北平,116.4074,39.9042,city,false,source-leeao-autobiography-and-memoirs,第239行,前往太原；清楚记得经过娘子关...到了太原以后，就住进禁烟局
event-1941-taiyuan-opium-bureau,32,1941-01-01,1941-12-31,1941年,随父赴太原，住进禁烟局,travel,high,place-niangziguan,娘子关,113.873,37.97,region,false,source-leeao-autobiography-and-memoirs,第239行,前往太原；清楚记得经过娘子关...到了太原以后，就住进禁烟局
event-1941-taiyuan-opium-bureau,32,1941-01-01,1941-12-31,1941年,随父赴太原，住进禁烟局,travel,high,place-taiyuan-opium-suppression-bureau,太原禁烟局,112.5489,37.8706,city,true,source-leeao-autobiography-and-memoirs,第239行,前往太原；清楚记得经过娘子关...到了太原以后，就住进禁烟局
event-1941-donghua-hospital-appendicitis,34,1941-01-01,1941-12-31,六岁时,东华医院盲肠炎手术,health,high,place-beijing-donghua-hospital,东华医院,,,unknown,true,source-leeao-autobiography-and-memoirs,第395、399行,我六岁时候，得了慢性盲肠炎...我住进东华医院
event-1942-school-beijing,40,1942-01-01,1942-12-31,1942年,入北京新鲜胡同小学,education,medium,place-beijing,北京/北平,116.4074,39.9042,city,false,source-leeao-chronology-50,1942条,入北京新鲜胡同小学
event-1942-school-beijing,40,1942-01-01,1942-12-31,1942年,入北京新鲜胡同小学,education,medium,place-beijing-xinxian-hutong-primary-school,新鲜胡同小学,116.4285,39.9215,address_approx,true,source-leeao-chronology-50,1942条,入北京新鲜胡同小学
event-1940s-beijing-kaiming-bookstore-liulichang,45,1942-01-01,1948-09-30,北平少年时期,到访北京琉璃厂开明书店,public_memory,medium,place-beijing-kaiming-bookstore-liulichang,开明书店北京琉璃厂分店,116.389,39.895,street_approx,true,source-leeao-unforgettable-events-and-people,第3行,在北京，我去过它在琉璃厂的分店；在上海，我去过它在福州路的总店。
event-1948-tianjin-shanghai,50,1948-01-01,1948-12-31,1948年,天津小住，转往上海,migration,high,place-beijing,北京/北平,116.4074,39.9042,city,false,source-leeao-chronology-50,1948条,去天津小住，转往上海
event-1948-tianjin-shanghai,50,1948-01-01,1948-12-31,1948年,天津小住，转往上海,migration,high,place-tianjin,天津,117.3616,39.3434,city,false,source-leeao-chronology-50,1948条,去天津小住，转往上海
event-1948-tianjin-shanghai,50,1948-01-01,1948-12-31,1948年,天津小住，转往上海,migration,high,place-shanghai,上海,121.4737,31.2304,city,false,source-leeao-chronology-50,1948条,去天津小住，转往上海
event-1948-xilin-voyage-to-shanghai,52,1948-12-01,1948-12-31,1948年冬天,由北京经天津乘锡麟轮到上海,migration,high,place-beijing,北京/北平,116.4074,39.9042,city,false,source-leeao-autobiography-and-memoirs,第3、7、11行,先由北京到天津，准备搭船去上海...锡麟轮...爸爸在上海码头上接我们
event-1948-xilin-voyage-to-shanghai,52,1948-12-01,1948-12-31,1948年冬天,由北京经天津乘锡麟轮到上海,migration,high,place-tianjin,天津,117.3616,39.3434,city,false,source-leeao-autobiography-and-memoirs,第3、7、11行,先由北京到天津，准备搭船去上海...锡麟轮...爸爸在上海码头上接我们
event-1948-xilin-voyage-to-shanghai,52,1948-12-01,1948-12-31,1948年冬天,由北京经天津乘锡麟轮到上海,migration,high,place-shanghai-port,上海码头,121.491,31.24,site_approx,true,source-leeao-autobiography-and-memoirs,第3、7、11行,先由北京到天津，准备搭船去上海...锡麟轮...爸爸在上海码头上接我们
